campaign_id,campaign_type,start_date,end_date
1,Y,12/12/2012,18/01/2013
2,Y,17/12/2012,18/01/2013
3,Y,22/12/2012,16/02/2013
4,Y,07/01/2013,08/02/2013
5,Y,12/01/2013,15/02/2013
6,Y,28/01/2013,01/03/2013
7,Y,02/02/2013,08/03/2013
8,X,16/02/2013,05/04/2013
9,Y,11/03/2013,12/04/2013
10,Y,08/04/2013,10/05/2013
11,Y,22/04/2013,07/06/2013
12,Y,22/04/2013,24/05/2013
13,X,19/05/2013,05/07/2013
16,Y,15/07/2013,16/08/2013
17,Y,29/07/2013,30/08/2013
18,X,10/08/2013,04/10/2013
19,Y,26/08/2013,27/09/2013
20,Y,07/09/2013,16/11/2013
21,Y,16/09/2013,18/10/2013
22,X,16/09/2013,18/10/2013
23,Y,08/10/2013,15/11/2013
24,Y,21/10/2013,20/12/2013
25,Y,21/10/2013,22/11/2013
26,X,12/08/2012,21/09/2012
27,Y,25/08/2012,27/10/2012
28,Y,16/09/2012,16/11/2012
29,Y,08/10/2012,30/11/2012
30,X,19/11/2012,04/01/2013
