,id,campaign_id,coupon_id,customer_id,redemption_status,campaign_type,start_date,end_date,age_range,marital_status,rented,family_size,no_of_children,income_bracket,item_id,date,quantity,selling_price,other_discount,coupon_discount,brand,brand_type,category
5,19636,13,705,712,0,X,2013-05-19,2013-07-05,46-55,Married,0.0,3,1,5.0,4904,2013-06-11,1,113.63,-39.18,0.0,714,Established,Grocery
6,19636,13,705,712,0,X,2013-05-19,2013-07-05,46-55,Married,0.0,3,1,5.0,4904,2013-06-20,1,113.63,-39.18,0.0,714,Established,Grocery
27,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,52678,2013-02-28,1,142.12,0.0,0.0,1105,Established,Packaged Meat
39,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,6480,2013-02-28,1,320.22,0.0,0.0,56,Local,Packaged Meat
41,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,33323,2013-02-28,1,320.22,0.0,0.0,56,Local,Packaged Meat
58,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,50939,2013-02-20,1,248.98,0.0,0.0,56,Local,Meat
66,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,37055,2013-02-28,1,89.05,-35.26,0.0,1393,Established,Packaged Meat
97,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,17672,2013-02-28,4,498.68,-212.3,0.0,1179,Established,Meat
98,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,17672,2013-03-14,2,249.34,-106.15,0.0,1179,Established,Meat
133,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,20356,2013-03-20,2,270.0,0.0,0.0,1744,Established,Packaged Meat
159,29,8,8,695,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,6.0,34377,2013-03-23,1,177.74,0.0,0.0,989,Established,Packaged Meat
191,72,13,413,276,1,X,2013-05-19,2013-07-05,46-55,,0.0,2,,5.0,24453,2013-06-22,1,142.12,-24.93,-35.62,67,Established,Seafood
192,72,13,413,276,1,X,2013-05-19,2013-07-05,46-55,,0.0,2,,5.0,24453,2013-06-22,1,142.12,-24.93,-35.62,67,Established,Seafood
204,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,7225,2013-03-16,1,89.05,-17.45,0.0,79,Established,Packaged Meat
219,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,50892,2013-03-16,1,248.98,0.0,0.0,56,Local,Meat
